PID,POIs,PRIORITY_1,PRIORITY_2,PRIORITY_3,PRIORITY_4,PRIORITY_5
POI330,Panauti,History and Culture,Religious,Scenic,Local Experiences,Adventure
POI331,Koshi Tappu Wildlife Reserve,Adventure,Scenic,Local Experiences,Wildlife,History and Culture
POI332,Siddhartha Gumba,Religious,Scenic,Local Experiences,History and Culture,Adventure
POI333,Baglung,Local Experiences,Scenic,Adventure,History and Culture,Food and Drinks
POI334,Terai Mangroves,Wildlife,Scenic,Adventure,Local Experiences,History and Culture
POI335,Bardiya National Park,Adventure,Wildlife,Scenic,Local Experiences,History and Culture
POI336,Sindhupalchowk,Scenic,Local Experiences,Adventure,History and Culture,Religious
POI337,Daman,Scenic,Local Experiences,Adventure,Food and Drinks,History and Culture
POI338,Janakpur,History and Culture,Religious,Scenic,Local Experiences,Adventure
POI339,Muktinath,Religious,Adventure,Scenic,Local Experiences,History and Culture
POI340,Poon Hill,Scenic,Adventure,Local Experiences,History and Culture,Food and Drinks
POI341,Nuwakot,History and Culture,Scenic,Local Experiences,Adventure,Religious
POI342,Balaju,Local Experiences,Scenic,History and Culture,Food and Drinks,Adventure
POI343,Narayanhiti Palace Museum,History and Culture,Museum,Local Experiences,Scenic,Food and Drinks
POI344,Dhulikhel View Tower,Scenic,Local Experiences,Adventure,History and Culture,Food and Drinks
POI345,Sarangkot,Scenic,Adventure,Local Experiences,History and Culture,Food and Drinks
POI346,Bhimeshwar Temple,Religious,History and Culture,Scenic,Local Experiences,Adventure
POI347,Kathmandu Zoo,Wildlife,Local Experiences,Scenic,Food and Drinks,Adventure
POI348,Tanglang Waterfall,Scenic,Adventure,Local Experiences,History and Culture,Religious
POI349,Gokyo Lakes,Scenic,Adventure,Local Experiences,History and Culture,Religious
POI350,Jiri,Adventure,Local Experiences,Scenic,History and Culture,Food and Drinks
POI351,Sankhu,Local Experiences,History and Culture,Scenic,Religious,Adventure
POI352,Bhaktapur National Park,Adventure,Wildlife,Scenic,Local Experiences,History and Culture
POI353,Bardia River Safari,Adventure,Wildlife,Local Experiences,Scenic,Food and Drinks
POI354,Lalitpur Durbar Square,History and Culture,Museum,Scenic,Local Experiences,Food and Drinks
POI355,Thamel,Shopping,Local Experiences,Food and Drinks,Scenic,Adventure
POI356,Kirtipur,History and Culture,Local Experiences,Scenic,Religious,Adventure
POI357,Bhadgaon,History and Culture,Museum,Local Experiences,Scenic,Food and Drinks
POI358,Kopan Monastery Retreat,Religious,Local Experiences,Scenic,Adventure,History and Culture
POI359,Godavari Botanical Garden,Scenic,Local Experiences,Adventure,History and Culture,Food and Drinks
POI360,Rijal Old Market,Shopping,Local Experiences,Food and Drinks,History and Culture,Scenic
POI361,Khokna Cave,Adventure,Scenic,Local Experiences,History and Culture,Wildlife
POI362,Panauti Durbar Square,History and Culture,Museum,Scenic,Local Experiences,Adventure
POI363,Sainbu Bhairab Temple,Religious,History and Culture,Scenic,Local Experiences,Adventure
POI364,Neelkantha Mahadev Temple,Religious,Scenic,Local Experiences,Adventure,History and Culture
POI365,Lele,Scenic,Local Experiences,Adventure,History and Culture,Food and Drinks
POI366,Dormaa,Local Experiences,Scenic,Adventure,History and Culture,Food and Drinks
POI367,Muktinath View Point,Religious,Scenic,Local Experiences,Adventure,History and Culture
POI368,Chitlang,Adventure,Scenic,Local Experiences,History and Culture,Food and Drinks
POI369,Chabahil Zoo,Wildlife,Local Experiences,Scenic,Adventure,History and Culture
POI370,Shankharapur,Local Experiences,History and Culture,Scenic,Adventure,Religious
POI371,Sarangkot Sunrise,Scenic,Adventure,Local Experiences,History and Culture,Food and Drinks
POI372,Gyankali Temple,Religious,Scenic,Local Experiences,Adventure,History and Culture
POI373,Budhagaung,History and Culture,Museum,Local Experiences,Scenic,Food and Drinks
POI374,Chitwan River,Adventure,Wildlife,Scenic,Local Experiences,History and Culture
POI375,Devghat,Religious,Scenic,Local Experiences,Adventure,History and Culture
POI376,Damauli,Local Experiences,Scenic,History and Culture,Adventure,Food and Drinks
POI377,Gandaki River,Scenic,Adventure,Local Experiences,History and Culture,Religious
POI378,Nilkantha Cave,Adventure,Scenic,Local Experiences,History and Culture,Religious
POI379,Sankhu Heritage,History and Culture,Museum,Scenic,Local Experiences,Adventure
POI380,Thamel Market,Shopping,Local Experiences,Food and Drinks,Scenic,Adventure
POI381,Gaindakot,Local Experiences,Scenic,Adventure,History and Culture,Food and Drinks
POI382,Jomsom Muktinath,Religious,Adventure,Scenic,Local Experiences,History and Culture
POI383,Baglung Hill,Scenic,Local Experiences,Adventure,History and Culture,Food and Drinks
POI384,Gyantse,History and Culture,Museum,Scenic,Local Experiences,Adventure
POI385,Syangja,Local Experiences,Scenic,Adventure,History and Culture,Food and Drinks
POI386,Simikot,Adventure,Local Experiences,Scenic,History and Culture,Religious
POI387,Kantipur Temple,Religious,History and Culture,Scenic,Local Experiences,Adventure
POI388,Shree Mahamaya Temple,Religious,History and Culture,Scenic,Local Experiences,Adventure
POI389,Shivapuri National Park,Adventure,Scenic,Local Experiences,Wildlife,History and Culture
POI390,Dhulikhel Trek,Adventure,Scenic,Local Experiences,History and Culture,Religious
POI391,Tansen Durbar,History and Culture,Museum,Scenic,Local Experiences,Adventure
POI392,Lalitpur Museum,History and Culture,Museum,Local Experiences,Scenic,Food and Drinks
POI393,Bhaktapur Pottery Square,Local Experiences,History and Culture,Scenic,Adventure,Food and Drinks
POI394,Sankhu Caves,Adventure,Scenic,Local Experiences,History and Culture,Religious
POI395,Kalinchowk,Scenic,Adventure,Local Experiences,Religious,History and Culture
POI396,Muktinath Temple Trail,Religious,Adventure,Scenic,Local Experiences,History and Culture
POI397,Kalimati Cemetery,History and Culture,Museum,Local Experiences,Scenic,Adventure
POI398,Swoyambhunath Light Show,Shows and Concerts,Scenic,Local Experiences,Adventure,History and Culture
POI399,Bardibas,Local Experiences,Scenic,Adventure,History and Culture,Food and Drinks
POI400,Lalitpur Gardens,Scenic,Local Experiences,Adventure,History and Culture,Food and Drinks
POI401,Kathmandu Durbar Square,History and Culture,Local Experiences,Museum,Religious Site,Scenic
POI402,Pashupatinath Temple,Religious Site,History and Culture,Scenic,-,-
POI403,Swayambhunath Stupa (Monkey Temple),Religious Site,Scenic,Local Experiences,Adventure,-
POI404,Pokhara (Phewa Lake),Scenic,Adventure,Relaxation,Water Activities,Local Experiences
POI405,Chitwan National Park,Adventure,Wildlife,Scenic,Local Experiences,-
POI406,Lumbini (Birthplace of Buddha),Religious Site,History and Culture,Scenic,-,-
POI407,Everest Base Camp,Adventure,Scenic,Trekking,Local Experiences,-
POI408,Annapurna Circuit,Adventure,Scenic,Trekking,Local Experiences,-
POI409,Bhaktapur Durbar Square,History and Culture,Local Experiences,Museum,-,-
POI410,Patan Durbar Square,History and Culture,Local Experiences,Museum,-,-
POI411,Gosaikunda Lake,Religious Site,Adventure,Scenic,Trekking,-
POI412,Rara Lake,Scenic,Adventure,Local Experiences,Relaxation,-
POI413,Langtang National Park,Adventure,Wildlife,Scenic,Trekking,-
POI414,Janaki Temple,Religious Site,History and Culture,Scenic,-,-
POI415,Bandipur,Local Experiences,Scenic,History and Culture,-,-
POI416,Ilam Tea Garden,Scenic,Relaxation,Local Experiences,-,-
POI417,Nagarkot,Scenic,Adventure,Relaxation,-,-
POI418,Dhulikhel,Scenic,Relaxation,Adventure,-,-
POI419,Upper Mustang,Adventure,Scenic,Local Experiences,History and Culture,-
POI420,Manang Valley,Adventure,Scenic,Trekking,-,-
POI421,Gorkha Durbar,History and Culture,Scenic,Local Experiences,-,-
POI422,Koshi Tappu Wildlife Reserve,Wildlife,Adventure,Scenic,-,-
POI423,Helambu Region,Adventure,Scenic,Trekking,-,-
POI424,Kalinchowk Bhagwati Temple,Religious Site,Adventure,Scenic,-,-
POI425,Phulchowki Hill,Adventure,Scenic,Local Experiences,-,-
POI426,Sundarijal,Adventure,Scenic,Trekking,Relaxation,-
POI427,Changu Narayan Temple,Religious Site,History and Culture,Scenic,-,-
POI428,Tilicho Lake,Adventure,Scenic,Trekking,-,-
POI429,Panchase Hill,Scenic,Adventure,Trekking,-,-
POI430,Shuklaphanta National Park,Wildlife,Scenic,Adventure,-,-
POI431,Kopan Monastery,Religious Site,Relaxation,Local Experiences,-,-
POI432,Boudhanath Stupa,Religious Site,Scenic,Local Experiences,History and Culture,-
POI433,Tansen (Palpa),History and Culture,Scenic,Local Experiences,-,-
POI434,Sailung,Scenic,Trekking,Adventure,Local Experiences,-
POI435,Makalu Base Camp,Adventure,Trekking,Scenic,-,-
